arm,entry_date,exit_date,ticker,entry,stop,exit,realized,R,hold_days,reasons,sic2,group_n,group_rank,group_N,leader_rank_1m,leader_N_1m,leader_rank_3m,leader_N_3m,leader_rank_6m,leader_N_6m,etf,etf_rank,etf_N,dvol20,adr20
A0,2019-01-17,2019-01-22,XLNX,92.6,89.76,89.6712,-410.07,-1.032,5,stop,36,30.0,4.0,16.0,301.0,581,17.0,579,13.0,578,XLK,9.0,11.0,229170201.53350002,0.036430087914085876
A0,2019-01-25,2019-01-31,DATA,128.3,123.64,124.1158,-355.5,-0.898,6,partial;stop,73,58.0,1.0,12.0,339.0,437,22.0,436,45.0,435,XLK,10.0,11.0,135122982.9325,0.0362887234076756
A0,2019-01-30,2019-02-05,WWE,83.59,81.0,82.5873,-153.95,-0.388,6,partial;stop,78,2.0,,,165.0,325,104.0,325,91.0,323,XLC,8.0,11.0,70580919.214,0.03415529267850111
A0,2019-02-04,2019-02-06,SAVE,62.29,61.08,59.8901,-574.12,-1.982,2,stop,45,7.0,,,258.0,317,80.0,315,20.0,313,XLI,2.0,11.0,68064172.69350001,0.03759744228527416
A0,2019-02-04,2019-02-07,NWL,21.75,21.15,21.1297,-411.75,-1.035,3,stop,30,3.0,,,154.0,317,21.0,315,227.0,313,XLB,3.0,11.0,102979567.33,0.03244623172928059
A0,2019-02-11,2019-02-14,CZR,9.41,9.26,9.2507,-210.22,-1.062,3,stop,70,3.0,,,34.0,271,133.0,269,110.0,265,XLY,6.0,11.0,303841450.7,0.029946929235478637
A0,2019-02-12,2019-02-14,NFLX,36.04,34.93,34.8973,-203.83,-1.032,2,stop,78,2.0,,,133.0,264,94.0,262,88.0,258,XLC,4.0,11.0,4023280171.5994997,0.03062965509576554
A0,2019-02-12,2019-02-15,LULU,152.96,150.57,150.4194,-208.59,-1.063,3,stop,23,2.0,,,66.0,264,98.0,262,45.0,258,XLY,6.0,11.0,317723793.844,0.024647096925702147
A0,2019-02-12,2019-02-19,URI,131.13,129.2,131.7978,68.02,0.345,7,partial;stop,73,44.0,1.0,6.0,118.0,264,131.0,262,161.0,258,XLK,7.0,11.0,218568235.7,0.02974977797186907
A0,2019-02-15,2019-02-19,NFLX,36.08,35.55,35.5144,-210.21,-1.067,4,stop,78,2.0,,,188.0,261,60.0,259,71.0,255,XLC,3.0,11.0,3743367942.7419996,0.03163459743563277
