year,arm,threshold_usd,n_events,censored,event_pct_neg,event_median_pct,control_n,control_pct_neg,control_median_pct,gap_pct_neg,gap_median_pct,powered
2021,sweep,50000000.0,8175,28,58.091743119266056,-1.0692837263805322,591422,48.797643645315866,0.0,9.29409947395019,-1.0692837263805322,yes
2021,sweep,100000000.0,3906,17,59.44700460829493,-1.4538616877726451,595691,48.85536293145272,0.0,10.591641676842215,-1.4538616877726451,yes
2021,sweep,200000000.0,1816,6,61.67400881057269,-2.28683808245842,597781,48.88562868341416,0.0,12.788380127158526,-2.28683808245842,yes
2021,sweep,300000000.0,1125,5,62.66666666666667,-3.3007334963325086,598472,48.89852825194829,0.0,13.76813841471838,-3.3007334963325086,yes
2021,sweep,500000000.0,567,4,66.49029982363317,-6.439024390243908,599030,48.90773417024189,0.0,17.582565653391278,-6.439024390243908,yes
2021,sweep,750000000.0,356,1,68.53932584269663,-8.201509951443153,599241,48.912707908838016,0.0,19.62661793385861,-8.201509951443153,yes
2021,sweep / HIS STATED LEVEL / best-separating,1000000000.0,234,0,69.65811965811966,-9.929549964782836,599363,48.91626610251217,0.0,20.74185355560749,-9.929549964782836,yes
2021,sweep,1500000000.0,111,0,69.36936936936937,-14.244878513577886,599486,48.920575292834194,0.0,20.448794076535172,-14.244878513577886,yes
2021,sweep,2000000000.0,57,0,68.42105263157895,-16.796875,599540,48.9225072555626,0.0,19.498545376016345,-16.796875,yes
2022,sweep,50000000.0,3676,12,56.80087051142546,-0.6250958736002565,687213,48.586973762137795,0.0,8.213896749287663,-0.6250958736002565,yes
2022,sweep,100000000.0,1736,4,57.71889400921659,-0.6497846521024087,689153,48.6077837577432,0.0,9.111110251473391,-0.6497846521024087,yes
2022,sweep,200000000.0,860,0,57.09302325581396,-0.5384996832936251,690029,48.62013045828509,0.0,8.472892797528871,-0.5384996832936251,yes
2022,sweep,300000000.0,550,0,55.81818181818182,-0.4468885118909083,690339,48.62495092990545,0.0,7.193230888276368,-0.4468885118909083,yes
2022,sweep,500000000.0,190,0,52.63157894736842,-0.30965510006862873,690699,48.62957670417939,0.0,4.002002243189025,-0.30965510006862873,yes
2022,sweep / best-separating,750000000.0,66,0,59.09090909090909,-1.5812647157529336,690823,48.629677934868994,0.0,10.4612311560401,-1.5812647157529336,yes
2022,sweep,1000000000.0,30,0,63.33333333333333,-7.804665832834839,690859,48.63003883571032,0.0,14.703294497623006,-7.804665832834839,no
2022,sweep,1500000000.0,8,0,50.0,-5.6847231743127,690881,48.63066143083976,0.0,1.3693385691602415,-5.6847231743127,no
2022,sweep,2000000000.0,4,0,50.0,-6.96994373704472,690885,48.6306693588658,0.0,1.369330641134198,-6.96994373704472,no
