cut,is_rank,seed,p_entry,k_atr,is_net_pct,is_net_after_cost_pct,is_trades,is_pf,is_win_pct,is_maxdd_pct,oos_net_pct,oos_top50,oos_systematic256
daily,1,29,0.04,1.0,195.80159512940955,175.79495609222627,71,2.303191639356182,38.028169014084504,-20.998394993292035,90.1396683366168,1,1
daily,2,105,0.1,1.0,183.38208579190857,148.05299039705218,134,1.6043667470613865,30.597014925373134,-21.335359723435875,175.90702721418592,1,0
daily,3,39,0.04,1.0,178.76874714977674,158.08377513097764,78,2.0836527238095757,35.8974358974359,-19.856146359557393,52.486077905617144,1,0
daily,4,72,0.1,1.0,168.1994519957074,137.35010872241307,123,1.6211979125899134,30.89430894308943,-24.887020808160788,82.55789464468937,1,0
daily,5,40,0.06,1.0,157.27125143862972,134.8471977899477,92,1.8155042078727732,32.608695652173914,-16.025766895277883,12.458321007033435,1,0
daily,6,25,0.04,1.0,151.81275600492276,132.40537995433783,81,1.9039975047199302,34.5679012345679,-19.33866707123797,157.87240985042465,1,0
daily,7,53,0.1,1.0,147.0037414197798,116.39776497002892,133,1.5324236292502798,29.32330827067669,-23.43886196257543,7.54004750176136,1,0
daily,8,78,0.06,1.0,146.4728731234301,122.73990638079239,102,1.7041150788187525,31.372549019607842,-21.358494225919177,148.95820816728107,1,0
daily,9,87,0.04,1.0,144.763286139841,127.02714714017729,76,1.9649909779921824,34.21052631578947,-16.35433881652737,8.45028024307517,1,1
daily,10,21,0.1,1.0,139.66204691122422,111.22487738222605,127,1.542937214569224,29.133858267716537,-17.003118513295913,88.21729318835881,1,0
daily,11,92,0.1,1.0,138.0546271222774,110.0168687404373,126,1.5393795185990342,29.365079365079364,-28.939981281300465,23.734377009834162,1,0
daily,12,76,0.06,1.0,137.4873288129141,117.85925047658164,87,1.8011802758422863,32.18390804597701,-22.27751361892495,28.602655357887862,1,0
daily,13,49,0.06,1.5,133.0220889124273,117.64663416194834,69,2.0155945668341895,34.78260869565217,-26.266444768679964,129.9417362805407,1,0
daily,14,11,0.1,1.0,132.54463316777122,106.80087350701695,118,1.5589571378609597,29.661016949152543,-26.268111002105233,102.11452369702472,1,0
daily,15,39,0.06,1.0,129.63818682479692,109.60005251425282,92,1.7204268670059337,31.52173913043478,-24.729009034655036,81.97645869121706,1,0
daily,16,95,0.1,1.0,129.28632144639263,102.88207316091058,123,1.5252117481811138,29.26829268292683,-30.282026275940353,104.1514044835767,1,0
daily,17,66,0.1,1.0,127.45513069427878,102.2704568847558,118,1.5422312990036244,29.661016949152543,-30.078582566487643,134.02167497273544,1,1
daily,18,31,0.1,1.0,126.25248036928798,100.19490251612541,123,1.514620626814213,29.26829268292683,-38.24239973253884,111.4850729664075,1,0
daily,19,87,0.04,1.5,124.99493342599202,113.74936247993404,52,2.3432172757810035,38.46153846153846,-16.03120305619309,63.41658476584249,1,0
daily,20,30,0.1,1.0,123.87780338743677,96.11846305476415,133,1.4739406353805622,28.571428571428573,-41.34565103785979,95.97175247639473,1,0
daily,21,29,0.06,1.5,121.38749441427139,109.47780397440137,56,2.156938227915573,37.5,-17.87611546512369,76.09939951179668,1,0
daily,22,43,0.1,1.0,119.76452504970365,93.86599868071683,126,1.4928485084601708,28.571428571428573,-36.49323200237874,106.15354432578172,1,0
daily,23,107,0.1,1.5,117.26345789144194,100.69102361897535,80,1.7655235157778268,32.5,-28.39292556408476,70.68537715135584,1,0
daily,24,28,0.1,1.0,116.53073850958448,91.96888247728252,121,1.4985454630868935,28.925619834710744,-31.298032388304698,87.57248065160965,1,0
daily,25,44,0.1,1.0,116.25366973301739,91.5314112324206,122,1.4977751565790909,28.688524590163933,-30.787809754183158,150.4069892742001,1,1
daily,26,21,0.1,1.5,116.24882309081866,102.37008093953249,67,1.9324821225683808,34.32835820895522,-16.80440766759088,138.22879313602851,1,0
daily,27,69,0.1,1.0,112.8700667039349,88.34293987025002,123,1.4830098390950934,28.45528455284553,-30.072393556270395,203.09987318302646,1,0
daily,28,14,0.06,1.0,111.9154000773682,91.0984112788954,104,1.5639121174278368,29.807692307692307,-29.309815181573907,95.81421005814788,1,0
daily,29,101,0.1,1.0,111.67632233514708,85.42013646700173,133,1.4476297712209842,27.81954887218045,-28.85801507676654,133.49540579482183,1,0
daily,30,35,0.04,1.0,110.9010513457847,96.17804952575122,73,1.8007534940605447,32.87671232876713,-16.977789160363756,11.616895563841535,1,0
daily,31,10,0.1,1.5,110.6551194164489,94.97127030664836,78,1.7672304366468448,32.05128205128205,-26.35641855695423,74.3168166792503,1,0
daily,32,52,0.02,1.5,110.43174665954383,102.11475892383368,41,2.6047104113378077,41.46341463414634,-15.099793998856514,25.86976394102576,1,0
daily,33,125,0.1,1.5,109.91559454376629,94.28609694287309,78,1.761437107181129,32.05128205128205,-22.386900719678305,41.72963035783563,1,1
daily,34,45,0.06,1.0,109.58874401234628,93.20771704686861,82,1.7116637406465942,31.70731707317073,-22.08654962576628,65.36229664668993,1,0
daily,35,29,0.02,1.5,109.4894020974861,101.0074987514638,42,2.56823800031211,40.476190476190474,-16.84391195772964,80.74513997754131,1,0
daily,36,70,0.1,1.0,108.18124609682096,83.27022734767391,128,1.4473768294739449,28.125,-27.96249552577924,39.87842332253366,1,0
daily,37,10,0.1,1.0,106.36420069273105,80.58132351417899,134,1.4277711596149216,27.611940298507463,-32.99221316831703,149.2156440990688,1,0
daily,38,66,0.1,1.5,105.16313993661419,90.64490894898618,74,1.7662403810779839,32.432432432432435,-21.888691603306132,105.92578879979956,1,0
daily,39,65,0.06,1.0,104.56301288260752,83.17369291066203,111,1.506479521551979,28.82882882882883,-27.25145970590457,-7.986169804390453,1,0
daily,40,98,0.06,1.0,104.18863879826338,85.79079698020755,95,1.595618287721643,29.473684210526315,-18.619875707195433,3.635519143119126,1,0
daily,41,72,0.1,1.5,103.88779362274167,89.26939021921186,75,1.7608602581580846,32.0,-16.641798673348795,54.55250611171822,1,1
daily,42,39,0.04,1.5,103.8718830598615,92.69636089176545,57,2.0350564804346143,35.08771929824562,-18.779172168699944,81.30800163065797,1,0
daily,43,71,0.1,1.0,102.90583606415909,76.48874448186686,140,1.4023287133757196,27.142857142857142,-29.890728218078088,124.11902375127593,1,0
daily,44,110,0.06,1.0,102.52949626036968,83.72711980272281,98,1.5682396650689716,29.591836734693878,-21.434350042339812,51.39346371920222,1,0
daily,45,101,0.1,1.5,101.65939871789394,86.26394380014865,80,1.6982400782706892,31.25,-23.615938134416435,74.17209103674188,1,0
daily,46,80,0.1,1.0,101.33844201403299,79.38324512362624,116,1.474288494828808,28.448275862068964,-21.52219989308649,91.32709976747017,1,0
daily,47,64,0.1,1.0,101.07855602187198,78.07856439736089,122,1.454019289075903,27.868852459016395,-27.33119688485912,151.78039921159657,1,0
daily,48,35,0.04,1.5,100.16627474336204,90.90288381377474,48,2.2067507407203157,37.5,-13.688913150736825,19.815729991311738,1,0
daily,49,120,0.04,1.0,98.66327500107491,82.94292048613232,83,1.6353216041838043,31.325301204819276,-21.87563621246461,33.72667211947906,1,1
daily,50,29,0.02,1.0,98.65052351746273,88.32118953059182,54,2.0514980974447297,35.18518518518518,-23.198461316551544,78.55537045692797,1,0
daily,51,13,0.1,1.5,98.58255780377834,85.82224713732461,67,1.8235212805516834,32.83582089552239,-18.718076908287486,,0,0
daily,52,7,0.1,1.0,98.23800044277708,76.26468467419664,118,1.4560734535824675,27.966101694915253,-23.24191511575514,,0,0
daily,53,23,0.1,1.5,98.05353183193924,83.66419061309232,76,1.7144124820516815,31.57894736842105,-24.306632430006314,,0,0
daily,54,124,0.1,1.5,97.93294295557413,84.28877736534666,72,1.755426605838131,31.944444444444443,-28.443406794057225,,0,0
daily,55,21,0.06,1.5,97.70450060024638,85.74221839824459,63,1.8769951160728493,33.333333333333336,-16.628688508487976,,0,0
daily,56,37,0.1,1.0,97.01235771237806,75.34940333881279,117,1.454685732332903,28.205128205128204,-27.21453186848931,,0,0
daily,57,113,0.02,2.0,95.9899629054106,90.88782725719979,27,3.5147663145040386,48.148148148148145,-11.415761913599997,27.21633488764441,0,1
daily,58,102,0.04,1.5,95.95886027189462,85.76705915396596,54,2.025210551786415,35.18518518518518,-16.62522378698502,,0,0
daily,59,65,0.06,1.5,95.57030078818678,82.81773415708406,68,1.7940646881050049,32.35294117647059,-19.136380313093227,,0,0
daily,60,87,0.04,2.0,95.17988951214555,87.45207886156332,41,2.434087773846222,39.02439024390244,-11.47714103902926,,0,0
daily,61,35,0.1,1.5,94.75723364874855,82.05693283370263,68,1.7873172334600171,32.35294117647059,-24.988180126322344,,0,0
daily,62,42,0.04,1.0,94.29992872501698,79.99964374456216,77,1.6847837270284647,31.16883116883117,-14.923697741821451,,0,0
daily,63,39,0.1,1.0,94.29964856435869,69.50441612289889,137,1.3875755715875182,27.00729927007299,-33.35391750509687,,0,0
daily,64,25,0.04,1.5,92.12906897057213,80.49888162425648,63,1.8209350356646734,33.333333333333336,-17.27337339675573,,0,0
daily,65,49,0.06,1.0,91.49887025156664,72.49753661585802,105,1.483961129412935,28.571428571428573,-28.342132842758815,27.23004999355243,0,1
daily,66,48,0.1,1.0,91.4287007314152,69.18488108184269,124,1.4129769311110159,27.419354838709676,-34.356377346598165,,0,0
daily,67,110,0.04,1.0,91.13752754834094,75.47830878084474,86,1.583316516933297,30.232558139534884,-20.328775716516866,,0,0
daily,68,15,0.06,1.0,90.77373226532805,75.49512912522427,84,1.6032362247275147,29.761904761904763,-24.98719425372723,,0,0
daily,69,60,0.06,1.5,90.11901939223674,79.14620593633887,60,1.8664845265038195,33.333333333333336,-21.843431107647948,,0,0
daily,70,76,0.1,1.0,89.7790595222671,66.22075489788222,133,1.380639471380094,27.06766917293233,-38.61743251022517,,0,0
daily,71,59,0.02,1.0,89.59746580732026,81.90317617082788,42,2.2954990791742707,38.095238095238095,-16.710429049583396,,0,0
daily,72,90,0.1,1.5,89.37643814249489,74.38328491374658,83,1.6066601385984556,30.120481927710845,-33.47740905463389,,0,0
daily,73,30,0.1,1.5,89.21742112354889,76.16603388771048,72,1.6874887749390834,31.944444444444443,-27.972337380396716,107.10874901899814,0,1
daily,74,124,0.04,1.0,88.79486340095424,75.24549001764329,75,1.6780642194445652,30.666666666666668,-19.0591681612872,,0,0
daily,75,40,0.1,1.0,88.34293409082923,63.31853008629733,143,1.3544201481992169,26.573426573426573,-43.326070402070016,,0,0
daily,76,89,0.1,1.0,87.13414912385215,66.38225699593605,118,1.4152274358605912,27.966101694915253,-35.18735087893794,,0,0
daily,77,37,0.1,1.5,86.7066854829633,74.17502278683664,70,1.7103567665579813,31.428571428571427,-25.2965166987158,,0,0
daily,78,78,0.1,1.0,86.49452513908855,63.01423665604513,135,1.3613318031210744,27.40740740740741,-29.10146342784705,,0,0
daily,79,104,0.04,1.0,86.46253574895762,73.07821654615323,75,1.6551838603336027,30.666666666666668,-15.129004539182155,,0,0
daily,80,110,0.04,1.5,86.22329798351612,74.42079287940527,66,1.7551230115599068,31.818181818181817,-27.63788183460909,,0,0
daily,81,42,0.1,1.0,86.08027816238607,64.12462575038262,126,1.392798912516852,26.984126984126984,-33.06911884561524,105.04999183726835,0,1
daily,82,74,0.06,1.0,86.0154381330984,68.05755476844233,102,1.4773426354905896,28.431372549019606,-29.34659180116691,,0,0
daily,83,9,0.1,1.0,85.77295642634814,64.18132458923922,124,1.3912932369916156,27.419354838709676,-34.361052663441264,,0,0
daily,84,77,0.1,1.0,85.29759471276488,62.12986779211103,134,1.3680416683036256,26.865671641791046,-30.952449186300345,,0,0
daily,85,107,0.1,1.0,84.75472743970604,62.62772425700085,128,1.3746665199284016,27.34375,-34.05477744161652,,0,0
daily,86,5,0.04,1.0,84.69107221182894,72.81104901821902,67,1.7307825860680095,31.34328358208955,-17.338053230044892,,0,0
daily,87,113,0.04,1.5,84.62210777608338,75.3604867149208,52,1.9565887785850384,34.61538461538461,-14.97302237291932,,0,0
daily,88,102,0.1,1.0,84.48983042764537,59.334716676908506,147,1.3340024637274148,26.53061224489796,-37.05394102428047,,0,0
daily,89,93,0.06,1.0,84.3157562374758,66.52026701434383,102,1.4671280051244184,28.431372549019606,-30.684031357813744,15.830295142359319,0,1
daily,90,59,0.1,1.5,83.9595621448874,71.4381020817724,71,1.6844950070515063,30.985915492957748,-21.843431107647948,,0,0
daily,91,78,0.04,1.0,83.81918485355185,69.77002743146166,80,1.5942139158263653,30.0,-27.53232903739862,,0,0
daily,92,29,0.04,1.5,83.7150885398951,74.32365179960287,53,1.9419035373338807,33.9622641509434,-18.7311028757424,,0,0
daily,93,59,0.04,1.0,83.63758924277207,71.13765153887674,71,1.6784494943682593,30.985915492957748,-14.222121073640704,,0,0
daily,94,46,0.1,1.0,83.60634828740699,61.94047415833348,126,1.3838592201181004,26.984126984126984,-38.93601876195064,,0,0
daily,95,118,0.1,1.5,83.18285547539963,70.20118540220857,74,1.6348869737226537,31.08108108108108,-24.661643658691556,,0,0
daily,96,13,0.1,1.0,82.99631609266689,62.86293940977481,117,1.410073605744898,27.35042735042735,-27.61268570897598,,0,0
daily,97,78,0.06,2.0,82.81127348561901,75.0353944603623,44,2.156255012416871,36.36363636363637,-13.18744667532803,100.80973244916436,0,1
daily,98,18,0.06,1.0,82.54511846806594,68.59233098864736,80,1.5893813851939025,30.0,-18.627394606933933,,0,0
daily,99,113,0.02,1.5,82.41314457348639,76.41113113396449,34,2.5252360068038726,41.1764705882353,-12.333891773398943,,0,0
daily,100,51,0.06,1.5,82.39067130407976,71.85652232905531,60,1.7764192053004115,33.333333333333336,-19.96911158479586,,0,0
daily,101,82,0.1,1.5,82.21559232991179,68.45619151569512,79,1.5910123761267043,30.379746835443036,-29.77643586299854,,0,0
daily,102,116,0.04,1.0,82.12574093382092,69.55769138398296,72,1.668086605076673,30.555555555555557,-21.128521723803395,,0,0
daily,103,67,0.1,1.5,81.86385541831571,69.31365471266598,72,1.666636460366473,30.555555555555557,-15.77163168676502,,0,0
daily,104,46,0.02,1.0,81.38964605950683,73.67266394608323,44,2.110316755721151,36.36363636363637,-11.536102020966654,,0,0
daily,105,108,0.02,1.5,81.08810839082352,74.95335038989155,35,2.4902423669408673,40.0,-13.29146207945625,8.25973077954114,0,1
daily,106,59,0.02,1.5,80.86068797069478,74.73333937062507,35,2.470247406334193,40.0,-15.248892856867746,,0,0
daily,107,114,0.1,1.0,80.61624090742565,59.93998145397392,122,1.3859712746350477,27.049180327868854,-27.662884262770472,,0,0
daily,108,97,0.06,1.0,80.37511352263667,62.79374849567885,103,1.4490299116909016,28.155339805825243,-24.06056533727646,,0,0
daily,109,78,0.04,1.5,80.3749656538238,70.97985152416749,54,1.8868208171519472,33.333333333333336,-20.315067190190263,,0,0
daily,110,70,0.1,1.5,79.0304533791185,66.00677879187195,76,1.6011670184635862,30.263157894736842,-19.892934313031773,,0,0
daily,111,118,0.1,1.0,79.00684001423856,57.248351881280215,130,1.3535521753685629,26.923076923076923,-43.11236689118585,,0,0
daily,112,85,0.04,1.0,78.96323788452315,64.29111113390246,86,1.531639880754123,29.069767441860463,-19.60098371108321,,0,0
daily,113,45,0.1,1.0,78.83391756600595,56.78243944362347,132,1.3530261696897508,26.515151515151516,-22.8777551761589,73.6577459222318,0,1
daily,114,97,0.04,1.5,78.62062760570454,69.31525243318521,54,1.8656484090972472,33.333333333333336,-15.498643668991042,,0,0
daily,115,15,0.1,1.0,78.42874734577543,55.95744895781189,135,1.341220720797112,26.666666666666668,-34.90917637492218,,0,0
daily,116,97,0.04,1.0,78.37054378022287,64.73299773294237,80,1.5605538289898484,30.0,-23.40200174975946,,0,0
daily,117,72,0.06,1.0,78.24170716235123,62.16026183064787,95,1.4786188494587167,28.42105263157895,-22.96319107002357,,0,0
daily,118,31,0.04,1.5,78.13278406651835,68.00926913292065,59,1.7885105080252428,32.20338983050848,-21.919584873554253,,0,0
daily,119,24,0.02,1.5,78.06884909657535,71.86141542128306,36,2.394730592836788,38.888888888888886,-11.415761913600031,,0,0
daily,120,49,0.06,2.0,77.96203663194967,69.36735637949099,50,1.942252843788852,34.0,-20.5993312104777,,0,0
daily,121,28,0.06,1.0,77.80799041128701,61.92697660167226,94,1.474330676933985,28.72340425531915,-26.4187706102083,0.37379153213523697,0,1
daily,122,42,0.06,1.0,77.78766918152844,60.45587182746117,103,1.4326729707503063,28.155339805825243,-29.522519803370162,,0,0
daily,123,123,0.1,1.0,77.75645039167173,57.4051480758325,122,1.3754774974311712,27.049180327868854,-33.612035774204195,,0,0
daily,124,18,0.1,1.5,77.23012697476963,64.99522868330163,72,1.6226296521847123,30.555555555555557,-16.98288116667751,,0,0
daily,125,60,0.1,1.5,77.0152454971527,63.97214747741289,77,1.5839728866146234,29.87012987012987,-28.11214864554029,,0,0
daily,126,43,0.1,1.5,76.35936480880312,64.34813654399127,71,1.618783543026004,30.985915492957748,-29.674161568546797,,0,0
daily,127,105,0.1,1.5,76.05344861631968,62.91719595389065,78,1.5741046478267031,29.487179487179485,-24.06701408247336,,0,0
daily,128,46,0.06,2.0,75.48559535680059,67.67841107692334,46,2.00362388593159,34.78260869565217,-16.80101964810029,,0,0
daily,129,71,0.06,1.5,75.47213915819626,64.83566953895085,63,1.7007208773107587,31.746031746031747,-13.865030865769779,42.2828964116073,0,1
daily,130,118,0.06,1.5,75.44075504880017,63.98324249161726,68,1.6497581009612856,30.88235294117647,-23.782066470748696,,0,0
daily,131,98,0.1,1.5,75.18382318156578,62.92529421501387,73,1.60720548947322,30.136986301369863,-26.33318094287632,,0,0
daily,132,73,0.04,1.5,75.01865588066356,66.39681660321153,51,1.899169696005821,33.333333333333336,-15.144020734305219,,0,0
daily,133,36,0.1,1.0,74.82003621036326,53.413378062904606,131,1.3390435866922668,26.717557251908396,-23.38652024460425,,0,0
daily,134,22,0.06,1.0,74.49732924450633,59.54698028657586,90,1.4804563393175718,28.88888888888889,-27.59792463958056,,0,0
daily,135,97,0.1,1.0,74.44735311356445,54.31731402501625,123,1.3600877050334004,26.829268292682926,-34.87496576089425,,0,0
daily,136,86,0.04,2.5,73.75418526549096,69.04174697105414,28,2.8200071214256313,42.857142857142854,-11.729049172724881,,0,0
daily,137,84,0.06,1.5,73.74457023459836,63.04788221754058,64,1.677564458311079,31.25,-18.357554619936256,69.1456091709934,0,1
daily,138,51,0.06,1.0,73.69106925640241,58.016121668405,95,1.4543396622305178,28.42105263157895,-26.79455964588574,,0,0
daily,139,6,0.04,1.0,73.2255479896447,61.748774994808755,69,1.6299845481891984,30.434782608695652,-15.757691970280451,,0,0
daily,140,11,0.06,1.5,73.01644866418076,61.55334916098203,69,1.6287298134393315,30.434782608695652,-24.927090508442973,,0,0
daily,141,114,0.1,1.5,72.93682855952409,60.03027469390061,78,1.5521238385139848,29.487179487179485,-21.73154653970294,,0,0
daily,142,8,0.06,1.0,72.90342871075548,57.141324113957914,96,1.4456339065484642,28.125,-14.923697741821417,,0,0
daily,143,52,0.02,2.0,72.9000483426961,67.3699963333439,33,2.4621846344372265,39.39393939393939,-11.415761913600008,,0,0
daily,144,1,0.04,1.5,72.68028673103358,62.69863238908287,60,1.7231375047157047,31.666666666666668,-13.187446675328019,,0,0
daily,145,17,0.1,1.0,72.46763164817787,51.65086542038593,129,1.3415393713509953,26.356589147286822,-30.338873858841144,177.4300142791529,0,1
daily,146,12,0.1,1.0,72.32338289183798,52.28425518847981,124,1.3522169214370259,26.612903225806452,-27.787779652717116,,0,0
daily,147,34,0.06,1.0,72.15139879067678,57.08525675596272,92,1.4643589400505328,28.26086956521739,-23.34176148381698,,0,0
daily,148,29,0.06,2.0,72.10576470828632,65.10575238792076,42,2.066821371202992,35.714285714285715,-14.025290764180486,,0,0
daily,149,82,0.1,2.0,72.01250760204086,64.19218944012223,47,1.9435897191561804,34.04255319148936,-19.96355177191228,,0,0
daily,150,113,0.02,2.5,71.73381005159065,67.74466691898868,24,3.1549614567052813,45.833333333333336,-10.095084062419113,,0,0
daily,151,71,0.02,1.5,71.69237992552418,63.88633341075041,47,1.9402208919465833,34.04255319148936,-13.3765773960966,,0,0
daily,152,41,0.02,1.5,71.68473228356906,66.19236153574263,33,2.4226009102858477,39.39393939393939,-14.31991422332548,,0,0
daily,153,68,0.04,1.5,71.63650109877342,61.7141417694902,60,1.7107571173607588,31.666666666666668,-20.12922998442448,42.17188067259423,0,1
daily,154,55,0.1,1.0,70.71296331017889,50.708849616907536,125,1.345440770620412,26.4,-35.83773050618911,,0,0
daily,155,34,0.1,1.0,70.67442230113498,49.6216728514935,132,1.3214635691735188,26.515151515151516,-38.49613001594198,,0,0
daily,156,113,0.02,1.0,70.60268666423622,64.15468629284464,39,2.1485210529532197,35.8974358974359,-8.062620775504769,,0,0
daily,157,9,0.04,1.0,70.52346543101163,57.79467950284876,78,1.5322239535904594,29.487179487179485,-19.084996472068593,,0,0
daily,158,21,0.06,1.0,70.31977408251163,55.4121593934437,92,1.4523514671628044,28.26086956521739,-20.96328104694727,,0,0
daily,159,52,0.1,1.0,70.20861084512345,49.064191443884674,133,1.3226126945076344,26.31578947368421,-26.03623983991379,,0,0
daily,160,81,0.06,1.5,69.58277153185956,58.185608738860765,70,1.5960827388186263,30.0,-23.0977610739896,,0,0
daily,161,43,0.1,2.0,69.39709835179835,60.88582348825482,52,1.815125283361334,32.69230769230769,-19.031801126788583,94.92565303975357,0,1
daily,162,69,0.04,1.0,69.11093610250698,57.744784840397536,70,1.584439196148723,30.0,-27.391975282622727,,0,0
daily,163,113,0.1,1.0,68.62516437668525,47.67574989868149,133,1.3147340995930632,26.31578947368421,-25.984689741582635,,0,0
daily,164,104,0.04,1.5,68.57413441969884,60.74601417055256,48,1.8888225121919215,33.333333333333336,-14.926555318987567,,0,0
daily,165,23,0.02,1.0,68.5081960693654,60.68309408898629,48,1.8892870626622063,33.333333333333336,-22.99191522447479,,0,0
