window,cell,entry_date,exit_date,ticker,entry,stop,exit,realized,R,hold_days,reasons,sic2,group_n,group_rank,group_N,leader_rank_1m,leader_N_1m,leader_rank_3m,leader_N_3m,leader_rank_6m,leader_N_6m,etf,etf_rank,etf_N,dvol20,adr20
primary,A2_lead10,2025-02-18,2025-02-19,SNOW,193.79,189.09,188.9009,-176.14,-1.04,1,stop,73,105.0,1.0,15.0,119.0,608,45.0,608,134.0,602,XLK,4.0,11.0,929797405.107,0.03395253879569608
primary,A2_lead10,2025-02-19,2025-02-20,ALK,76.53,74.75,74.6753,-305.45,-1.042,1,stop,45,6.0,,,150.0,630,50.0,630,50.0,625,XLI,9.0,11.0,206772903.3685,0.035236454740493
primary,A2_lead10,2025-05-20,2025-05-23,DLTR,90.19,87.75,87.6651,-345.92,-1.036,3,stop,53,9.0,,,438.0,690,69.0,686,73.0,684,XLY,8.0,11.0,315476023.6685,0.027022892634188833
primary,A2_lead10,2025-06-05,2025-06-10,STRL,197.02,191.81,191.6182,-172.76,-1.037,5,stop,16,5.0,,,153.0,547,37.0,545,215.0,539,XLI,1.0,11.0,83907476.3425,0.033388028008684976
primary,A2_lead10,2025-06-11,2025-06-12,XP,20.36,19.81,19.7402,-186.03,-1.117,1,stop,62,7.0,,,190.0,480,101.0,478,37.0,474,XLF,5.0,11.0,156702822.055,0.027260248940840164
primary,A2_lead10,2025-06-16,2025-06-18,SPOT,718.59,709.15,708.4408,-172.5,-1.075,2,stop,48,8.0,,,104.0,484,127.0,479,36.0,475,XLC,4.0,11.0,1186342187.8595,0.03083308008942126
primary,A2_lead10,2025-06-24,2025-07-01,IRTC,151.31,147.35,152.0051,28.45,0.175,7,partial;stop,38,20.0,9.0,12.0,205.0,519,58.0,514,26.0,511,XLV,11.0,11.0,68226992.145,0.026298419070914302
primary,A2_lead10,2025-06-27,2025-07-01,ATI,86.49,85.65,85.5644,-132.78,-1.102,4,stop,33,6.0,,,207.0,539,48.0,534,51.0,531,XLB,7.0,11.0,173519553.47849998,0.024130097198197354
primary,A2_lead10,2025-06-30,2025-07-01,LIF,65.85,63.77,63.7043,-169.57,-1.031,1,stop,,,,,417.0,554,54.0,549,68.0,546,,,,66191355.317999996,0.031628177014749785
primary,A2_lead10,2025-07-07,2025-07-08,RBLX,106.28,103.24,103.137,-342.17,-1.034,1,stop,73,95.0,6.0,13.0,149.0,571,52.0,567,36.0,564,XLK,1.0,11.0,875741950.6985,0.028566616604998197
primary,A2_lead10,2025-07-02,2025-07-09,MOS,37.73,36.74,36.7067,-335.9,-1.037,7,stop,28,47.0,11.0,13.0,416.0,583,134.0,579,52.0,576,XLB,6.0,11.0,220355194.31350002,0.02608765209328819
primary,A2_lead10,2025-07-08,2025-07-09,KGC,16.11,15.65,15.1848,-334.43,-2.034,1,stop,10,18.0,4.0,14.0,352.0,577,251.0,573,40.0,570,XLB,6.0,11.0,305264944.5215,0.02812190175337038
primary,A2_lead10,2025-07-09,2025-07-10,ATI,88.76,87.19,87.1078,-171.69,-1.056,1,stop,33,7.0,,,330.0,592,56.0,586,54.0,583,XLB,6.0,11.0,168523013.5695,0.025573606089227745
primary,A2_lead10,2025-07-09,2025-07-10,SLNO,87.25,85.26,85.1747,-169.94,-1.043,1,stop,28,44.0,10.0,15.0,175.0,592,330.0,586,24.0,583,XLV,11.0,11.0,88173753.42,0.03444557263685946
primary,A2_lead10,2025-07-14,2025-07-15,NEM,60.37,60.01,59.95,-85.32,-1.167,1,stop,10,21.0,4.0,12.0,119.0,594,266.0,588,48.0,585,XLB,3.0,11.0,708944223.387,0.024317926704219527
primary,A2_lead10,2025-07-29,2025-07-30,STX,154.03,150.0,140.859,-527.0,-3.266,1,stop,35,26.0,4.0,13.0,253.0,576,51.0,570,76.0,566,XLK,1.0,11.0,568892370.54325,0.02710560392052703
primary,A2_lead10,2025-07-29,2025-07-30,CCJ,80.14,78.18,77.7322,-202.26,-1.228,1,stop,10,19.0,6.0,13.0,266.0,576,57.0,570,67.0,566,XLB,6.0,11.0,366832012.275,0.03463461384684249
primary,A2_lead10,2025-07-11,2025-07-31,ATI,88.85,87.47,86.9847,-218.09,-1.347,20,partial;stop,33,6.0,,,354.0,607,54.0,601,50.0,598,XLB,4.0,11.0,162916144.23499998,0.024846199798122796
primary,A2_lead10,2025-07-14,2025-08-01,FIVE,134.45,130.62,135.6475,50.12,0.312,18,partial;stop,53,8.0,,,304.0,594,35.0,588,137.0,585,XLY,4.0,11.0,154138466.91,0.028482536824612874
primary,A2_lead10,2025-07-31,2025-08-01,ORCL,256.02,253.32,247.5822,-396.61,-3.122,1,stop,73,94.0,7.0,12.0,112.0,554,55.0,548,60.0,544,XLK,1.0,11.0,2829270254.8165,0.026227499476597665
primary,A2_lead10,2025-08-08,2025-08-13,APH,110.49,108.5,108.3915,-232.98,-1.055,5,stop,36,53.0,2.0,16.0,136.0,666,169.0,661,57.0,655,XLK,1.0,11.0,972380346.3025,0.02646284940966333
primary,A2_lead10,2025-08-12,2025-08-15,STX,157.78,152.44,152.2828,-340.55,-1.029,3,stop,35,29.0,6.0,16.0,249.0,681,77.0,676,55.0,670,XLK,1.0,11.0,596972435.35175,0.03384781581916828
primary,A2_lead10,2025-07-11,2025-08-18,RBLX,108.11,104.81,116.1837,395.71,2.449,38,close<MA;partial,73,102.0,8.0,13.0,177.0,607,57.0,601,30.0,598,XLK,1.0,11.0,785481283.467,0.030516716912343513
primary,A2_lead10,2025-08-04,2025-08-20,AU,51.98,50.28,52.4719,93.1,0.288,16,close<MA;partial,10,20.0,5.0,16.0,181.0,615,228.0,610,45.0,605,XLB,8.0,11.0,124829634.2175,0.03270667797074535
primary,A2_lead10,2025-09-10,2025-09-11,COMM,16.63,16.16,16.1438,-352.42,-1.035,1,stop,36,56.0,3.0,12.0,322.0,555,13.0,553,15.0,546,XLK,2.0,11.0,97529794.27550001,0.03877196589437124
primary,A2_lead10,2025-09-04,2025-09-23,W,82.02,79.13,83.6421,186.32,0.56,19,partial;stop,59,9.0,,,225.0,576,31.0,571,27.0,566,XLY,3.0,11.0,343561259.547,0.042933949864321946
primary,A2_lead10,2025-09-19,2025-09-23,COMM,16.85,16.33,16.3137,-357.75,-1.032,4,stop,36,54.0,2.0,13.0,286.0,588,19.0,586,24.0,580,XLK,2.0,11.0,84431482.57050002,0.034131359353234296
primary,A2_lead10,2025-08-11,2025-09-25,INSM,113.21,109.9,137.2473,2355.35,7.253,45,close<MA;partial,28,56.0,10.0,15.0,107.0,675,56.0,670,102.0,665,XLV,11.0,11.0,277831281.547,0.029270336880229765
primary,A2_lead10,2025-10-06,2025-10-07,LIF,109.43,107.88,107.7721,-197.21,-1.07,1,stop,,,,,131.0,670,76.0,668,66.0,662,,,,123463787.24849999,0.03284583264018123
primary,A2_lead10,2025-10-08,2025-10-09,EQX,11.85,11.6,11.5884,-289.52,-1.046,1,stop,,,,,161.0,680,57.0,678,181.0,672,,,,212357512.2985,0.039330388336232515
primary,A2_lead10,2025-08-21,2025-10-10,STX,159.14,153.69,206.5682,2845.75,8.709,50,close<MA;partial,35,27.0,6.0,14.0,164.0,676,63.0,671,63.0,666,XLK,1.0,11.0,534168223.742,0.03422017278067967
primary,A2_lead10,2025-09-09,2025-10-13,TLN,394.64,387.0,418.4074,760.42,3.109,34,close<MA;partial,49,10.0,9.0,12.0,361.0,557,79.0,554,48.0,547,XLU,9.0,11.0,445539351.55599993,0.03473100641869326
primary,A2_lead10,2025-10-24,2025-10-28,IDCC,379.24,376.94,376.5631,-90.97,-1.164,4,stop,67,5.0,,,223.0,748,67.0,743,142.0,738,XLRE,8.0,11.0,115792162.52550001,0.03145575158840501
primary,A2_lead10,2025-10-29,2025-10-30,TTMI,62.66,59.67,59.6135,-350.64,-1.02,1,stop,36,72.0,1.0,16.0,355.0,761,245.0,754,52.0,749,XLK,1.0,11.0,124541367.3005,0.04770602954826222
primary,A2_lead10,2025-10-31,2025-11-04,PSTG,98.33,96.22,93.2716,-662.41,-2.399,4,stop,35,42.0,7.0,17.0,129.0,797,73.0,789,127.0,784,XLK,1.0,11.0,229706162.204,0.03636734238704305
primary,A2_lead10,2025-10-01,2025-11-11,IONS,65.62,64.92,69.4696,766.96,5.581,41,close<MA;partial,28,60.0,6.0,15.0,30.0,658,75.0,656,89.0,650,XLV,8.0,11.0,168498629.40350002,0.030980452060380574
primary,A2_lead10,2025-11-26,2025-12-01,CRNX,45.2,44.5,44.4555,-208.5,-1.064,5,stop,,,,,363.0,913,78.0,909,194.0,902,,,,66795319.9265,0.046400256574018875
primary,A2_lead10,2025-12-02,2025-12-04,INDV,34.1,33.52,33.4815,-230.98,-1.057,2,stop,28,73.0,4.0,21.0,123.0,820,114.0,815,43.0,808,XLV,1.0,11.0,62532393.09199999,0.04144523143570489
primary,A2_lead10,2025-12-05,2025-12-08,PEN,301.52,295.34,295.0447,-272.02,-1.048,3,stop,38,38.0,7.0,20.0,66.0,781,392.0,775,426.0,770,XLV,1.0,11.0,144387997.701,0.029744792327025937
primary,A2_lead10,2025-12-09,2025-12-16,SPHR,85.57,83.94,86.6343,109.02,0.656,7,partial;stop,,,,,146.0,752,52.0,746,55.0,741,,,,63810307.2605,0.03950483516179249
primary,A2_lead10,2025-12-16,2025-12-26,BBIO,75.69,73.1,75.884,12.89,0.077,10,partial;stop,28,63.0,1.0,16.0,154.0,748,60.0,745,91.0,740,XLV,1.0,11.0,146416346.6865,0.034208487572430744
primary,A2_lead10,2025-12-03,2026-01-02,EXPD,148.53,145.57,149.4499,78.33,0.312,30,close<MA;partial,47,4.0,,,64.0,797,192.0,792,276.0,785,XLI,5.0,11.0,245155566.97550002,0.025558989034813108
primary,A2_lead10,2025-12-22,2026-01-02,RVMD,81.57,78.75,78.6706,-344.79,-1.028,11,stop,28,63.0,1.0,14.0,262.0,736,20.0,733,74.0,727,XLV,1.0,11.0,195023383.56,0.03455571550097307
primary,A2_lead10,2026-01-06,2026-01-07,B,46.5,46.0,45.954,-148.63,-1.093,1,stop,10,25.0,1.0,11.0,97.0,563,71.0,561,50.0,555,XLB,4.0,11.0,498427624.86,0.030393313578489185
primary,A2_lead10,2026-01-06,2026-01-08,NTRA,247.15,241.01,240.7738,-325.03,-1.039,2,stop,80,4.0,,,344.0,563,49.0,561,155.0,555,XLV,1.0,11.0,256845243.8695,0.024811622025038255
primary,A2_lead10,2026-01-06,2026-01-12,DLTR,132.61,129.09,131.6282,-94.49,-0.279,6,partial;stop,53,9.0,,,90.0,563,46.0,561,245.0,555,XLY,8.0,11.0,384800107.026,0.033969550752371624
primary,A2_lead10,2026-01-06,2026-01-12,GH,108.95,105.06,109.8517,79.45,0.232,6,partial;stop,80,4.0,,,426.0,563,24.0,561,54.0,555,XLV,1.0,11.0,186757318.537,0.0356666348466978
primary,A2_lead10,2026-01-13,2026-01-14,EQX,15.12,14.47,14.4555,-348.25,-1.022,1,stop,,,,,371.0,628,180.0,626,49.0,619,,,,130907256.40349999,0.04308094167625791
primary,A2_lead10,2026-01-06,2026-01-30,DG,139.97,139.01,142.0187,184.4,2.135,24,close<MA;partial,53,9.0,,,33.0,563,57.0,561,260.0,555,XLY,8.0,11.0,545977769.949,0.031177557325415474
primary,A2_lead10,2026-02-26,2026-02-27,WT,17.38,16.82,16.7982,-182.44,-1.03,1,stop,,,,,327.0,1109,103.0,1106,273.0,1101,,,,70009704.97105466,0.04034521794865955
primary,A2_lead10,2026-01-05,2026-03-04,TER,212.06,211.8,290.509,4628.38,299.588,58,close<MA;partial,38,22.0,4.0,11.0,139.0,531,42.0,529,38.0,522,XLV,1.0,11.0,540691595.138,0.029222053325052018
primary,A2_lead10,2026-04-09,2026-04-10,KGS,60.46,60.18,60.1198,-73.91,-1.215,1,stop,,,,,233.0,949,37.0,944,61.0,940,,,,64997783.72234372,0.03226946330832692
primary,A2_lead10,2026-04-14,2026-04-15,ROIV,29.22,28.96,28.931,-129.33,-1.112,1,stop,28,69.0,6.0,19.0,590.0,932,146.0,926,71.0,922,XLV,9.0,11.0,146762803.05224076,0.031781734925405696
primary,A2_lead10,2026-04-14,2026-04-15,NSA,41.54,41.36,41.3186,-70.42,-1.228,1,stop,67,18.0,11.0,19.0,51.0,932,144.0,926,220.0,922,XLRE,5.0,11.0,106452510.1510598,0.026713161719844253
primary,A2_lead10,2026-04-13,2026-04-17,KGS,61.54,60.8,61.0889,-96.41,-0.61,4,partial;stop,,,,,249.0,921,41.0,915,80.0,911,,,,65020581.446431555,0.029900115757654645
primary,A2_lead10,2026-04-17,2026-04-20,ROIV,29.72,29.0,28.971,-181.18,-1.04,3,stop,28,69.0,6.0,20.0,532.0,944,189.0,939,79.0,934,XLV,11.0,11.0,147054620.58019996,0.03196036208206632
primary,A2_lead10,2026-04-27,2026-04-28,TDW,89.62,88.52,88.4315,-172.27,-1.081,1,stop,44,9.0,,,252.0,922,82.0,917,80.0,912,XLI,5.0,11.0,67049914.606145844,0.04040677548619585
primary,A2_lead10,2026-05-01,2026-05-04,TIGO,85.2,83.78,83.4265,-217.54,-1.25,3,stop,48,18.0,11.0,20.0,296.0,937,130.0,932,92.0,926,XLC,10.0,11.0,103851784.08621287,0.03404631005570742
primary,A2_lead10,2026-05-01,2026-05-06,CE,68.84,67.08,63.4015,-538.29,-3.091,5,stop,28,68.0,4.0,20.0,573.0,937,71.0,932,115.0,926,XLB,6.0,11.0,136905078.15637487,0.04225961380976426
primary,A2_lead10,2026-04-29,2026-05-07,CVE,27.91,27.81,28.3754,217.85,4.776,8,partial;stop,13,29.0,2.0,19.0,648.0,925,90.0,919,104.0,913,XLE,1.0,11.0,241691441.13044935,0.02762006795794686
primary,A2_lead10,2026-05-01,2026-05-07,GSAT,82.63,80.81,82.1578,-45.11,-0.261,6,partial;stop,48,18.0,11.0,20.0,166.0,937,180.0,932,57.0,926,XLC,10.0,11.0,181574966.09931034,0.02800313761524087
primary,A2_lead10,2026-05-20,2026-05-27,RVMD,151.58,148.02,151.9503,31.35,0.104,7,partial;stop,28,70.0,8.0,22.0,401.0,1040,94.0,1036,57.0,1028,XLV,10.0,11.0,410012683.3422704,0.04503357159605833
primary,A2_lead10,2026-05-22,2026-06-01,TXN,310.6,303.0,297.0846,-554.14,-1.778,10,stop,36,90.0,1.0,21.0,83.0,1048,161.0,1044,114.0,1036,XLK,1.0,11.0,2266213173.75266,0.03160293147759522
primary,A2_lead10,2026-06-11,2026-06-17,ARMK,54.62,53.63,53.6763,-222.85,-0.953,6,partial;stop,58,12.0,19.0,23.0,90.0,1010,180.0,1004,216.0,996,XLY,9.0,11.0,165943515.7440459,0.024088659473372964
primary,A2_lead10,2026-06-10,2026-06-22,RAL,64.3,62.03,68.6612,653.55,1.918,12,end-of-test;partial,38,53.0,5.0,23.0,37.0,1006,154.0,1000,340.0,992,XLV,8.0,11.0,119698076.45214522,0.03532192368356983
primary,A2_lead10,2026-06-22,2026-06-22,ARW,235.53,233.06,236.13,32.65,0.245,0,end-of-test,50,15.0,7.0,23.0,340.0,1050,119.0,1042,99.0,1031,XLI,2.0,11.0,139973863.15062147,0.033796829846503104
primary,A2_lead10,2026-06-22,2026-06-22,GTX,35.09,34.4,34.42,-246.58,-0.971,0,end-of-test,,,,,300.0,1050,67.0,1042,103.0,1031,,,,96584739.27807355,0.03877101661717686
oos_holdout,A2_lead10,2010-01-06,2010-01-07,HL,6.86,6.66,6.6533,-413.53,-1.034,1,stop,14,1.0,,,112.0,120,9.0,120,8.0,120,XLB,2.0,9.0,79385817.8585,0.04378165109261526
oos_holdout,A2_lead10,2010-01-14,2010-01-26,UNH,33.28,32.44,32.4114,-390.59,-1.039,12,stop,63,10.0,3.0,4.0,85.0,143,15.0,142,93.0,142,XLF,9.0,9.0,403528140.895,0.025220238777032083
oos_holdout,A2_lead10,2010-02-22,2010-02-23,RF,6.86,6.57,6.5634,-405.8,-1.023,1,stop,60,22.0,1.0,11.0,161.0,319,22.0,319,161.0,319,XLF,9.0,9.0,190451155.612,0.04390820517868974
oos_holdout,A2_lead10,2010-02-22,2010-02-23,CMA,36.21,35.55,35.5144,-283.61,-1.054,1,stop,60,22.0,1.0,11.0,37.0,319,27.0,319,76.0,319,XLF,9.0,9.0,106572803.98350002,0.03112234850178296
oos_holdout,A2_lead10,2010-03-10,2010-03-11,DAL,13.51,12.97,12.9542,-201.92,-1.024,1,stop,45,3.0,,,87.0,188,32.0,188,13.0,188,XLI,2.0,9.0,125867360.1295,0.04043115982555901
oos_holdout,A2_lead10,2010-03-09,2010-03-16,LXK,35.51,34.6,35.5556,10.88,0.055,7,partial;stop,35,17.0,3.0,6.0,132.0,193,19.0,193,8.0,193,XLK,7.0,9.0,76240572.018,0.02555130489077257
oos_holdout,A2_lead10,2010-03-17,2010-03-19,CREE,71.82,70.62,70.5494,-262.11,-1.059,2,stop,36,9.0,,,57.0,154,18.0,154,3.0,154,XLK,7.0,9.0,196827027.00994998,0.0284211509532723
oos_holdout,A2_lead10,2010-03-23,2010-03-24,CREE,71.87,69.91,69.8402,-408.36,-1.036,1,stop,36,10.0,1.0,4.0,87.0,169,23.0,168,3.0,168,XLK,7.0,9.0,188879297.70395,0.027294941614761453
oos_holdout,A2_lead10,2010-04-01,2010-04-05,LXK,37.39,36.39,36.3562,-408.33,-1.037,4,stop,35,13.0,3.0,4.0,85.0,150,15.0,149,12.0,149,XLK,7.0,9.0,66458668.1165,0.026606441193270623
oos_holdout,A2_lead10,2010-04-06,2010-04-08,KEY,8.2,8.1,8.0919,-193.45,-1.082,2,stop,60,8.0,,,36.0,146,12.0,145,56.0,145,XLF,2.0,9.0,129183634.57250002,0.03748219274905414
oos_holdout,A2_lead10,2010-04-06,2010-04-08,TIVO,17.6,16.92,16.9031,-204.88,-1.025,2,stop,67,7.0,,,113.0,146,4.0,145,20.0,145,XLF,2.0,9.0,79132839.69225,0.04004078949482009
oos_holdout,A2_lead10,2010-04-07,2010-04-08,CIEN,16.52,16.16,16.1438,-208.32,-1.045,1,stop,36,11.0,2.0,4.0,114.0,152,11.0,151,111.0,151,XLK,8.0,9.0,115187406.87914999,0.03772157512426353
oos_holdout,A2_lead10,2010-04-12,2010-04-13,SNDK,36.29,36.08,36.0439,-99.84,-1.175,1,stop,35,14.0,3.0,5.0,83.0,160,47.0,159,16.0,159,XLK,5.0,9.0,256228385.617,0.031123037459383513
oos_holdout,A2_lead10,2010-04-08,2010-04-16,C,44.14,43.1,45.5299,261.91,1.327,8,partial;stop,60,8.0,,,13.0,160,34.0,159,146.0,159,XLF,3.0,9.0,2684909743.13,0.035030497789965184
oos_holdout,A2_lead10,2010-04-14,2010-04-16,SNDK,36.97,36.93,36.8931,-30.21,-2.0,2,stop,35,13.0,4.0,5.0,78.0,159,50.0,158,13.0,158,XLK,5.0,9.0,255386446.65850002,0.03080239360607858
oos_holdout,A2_lead10,2010-03-16,2010-04-21,CIT,37.79,36.55,38.5604,246.48,0.625,36,close<MA;partial,60,9.0,,,50.0,161,41.0,161,1.0,161,XLF,3.0,9.0,77466793.937,0.032724497478568974
oos_holdout,A2_lead10,2010-04-05,2010-04-22,CREE,73.15,72.75,76.5443,685.02,8.413,17,close<MA;partial,36,11.0,3.0,4.0,102.0,151,38.0,150,3.0,150,XLK,8.0,9.0,143222915.5172,0.02492650209126149
oos_holdout,A2_lead10,2010-04-22,2010-04-27,TIVO,18.71,17.96,17.9456,-406.74,-1.024,5,stop,67,11.0,3.0,6.0,77.0,189,5.0,188,19.0,188,XLF,3.0,9.0,61975223.88900001,0.03982891869569965
oos_holdout,A2_lead10,2010-04-23,2010-04-27,GNW,19.12,18.55,18.5314,-411.36,-1.033,4,stop,63,13.0,1.0,6.0,55.0,200,21.0,199,15.0,199,XLF,3.0,9.0,168132199.68049997,0.03264765595470244
oos_holdout,A2_lead10,2010-04-26,2010-04-27,F,14.4,14.28,14.2657,-143.52,-1.115,1,stop,37,4.0,,,158.0,200,50.0,199,12.0,199,XLY,1.0,9.0,1624504315.3475,0.026215707754293112
oos_holdout,A2_lead10,2010-04-26,2010-04-27,LXK,39.92,39.58,39.5354,-143.4,-1.115,1,stop,35,15.0,4.0,6.0,110.0,200,20.0,199,61.0,199,XLK,4.0,9.0,68929424.095,0.027944022218953913
oos_holdout,A2_lead10,2010-04-22,2010-04-30,M,24.15,23.48,24.2733,69.84,0.176,8,partial;stop,53,2.0,,,103.0,189,18.0,188,97.0,188,XLY,1.0,9.0,193048150.115,0.027995695967845496
oos_holdout,A2_lead10,2010-03-09,2010-05-07,PXD,49.78,48.22,59.0838,1172.31,5.981,59,close<MA;partial,13,24.0,5.0,6.0,129.0,193,70.0,193,18.0,193,XLE,4.0,9.0,80914983.5835,0.03125179613031102
oos_holdout,A2_lead10,2010-10-11,2010-10-12,CMI,93.89,92.5,92.4075,-233.35,-1.066,1,stop,35,16.0,3.0,6.0,48.0,185,31.0,185,7.0,184,XLI,2.0,9.0,221530360.87150002,0.026214095597229398
oos_holdout,A2_lead10,2010-10-13,2010-10-15,SLW,27.34,27.1,27.0729,-143.84,-1.114,2,stop,10,10.0,1.0,5.0,54.0,182,17.0,182,3.0,181,XLB,1.0,9.0,192926327.5075,0.031832773994439414
oos_holdout,A2_lead10,2010-10-13,2010-10-15,BWA,53.76,53.25,53.1968,-157.05,-1.104,2,stop,37,5.0,,,60.0,182,42.0,182,8.0,181,XLY,2.0,9.0,87731530.2445,0.02815003679043318
oos_holdout,A2_lead10,2010-10-14,2010-10-15,CMI,94.28,93.0,92.907,-216.22,-1.072,1,stop,35,16.0,2.0,6.0,88.0,184,38.0,184,9.0,183,XLI,2.0,9.0,211624374.1595,0.025563582109023663
oos_holdout,A2_lead10,2010-10-08,2010-10-19,MOS,64.05,63.99,65.1303,246.47,16.82,11,partial;stop,28,7.0,,,128.0,182,16.0,182,49.0,181,XLB,3.0,9.0,280107024.32850003,0.03071935870027196
oos_holdout,A2_lead10,2010-10-08,2010-10-19,RCL,33.22,32.69,33.5885,161.85,0.685,11,partial;stop,44,1.0,,,18.0,182,20.0,182,89.0,181,XLI,2.0,9.0,74680630.332,0.0268065554967216
oos_holdout,A2_lead10,2010-10-20,2010-10-21,BWA,54.91,53.62,53.5664,-358.7,-1.041,1,stop,37,5.0,,,30.0,193,24.0,193,10.0,192,XLY,1.0,9.0,83801000.74149999,0.027787311804585886
oos_holdout,A2_lead10,2010-10-20,2010-10-21,WYN,29.6,28.82,28.7961,-396.13,-1.037,1,stop,70,5.0,,,86.0,193,15.0,193,43.0,192,XLY,1.0,9.0,68335369.85800001,0.026172056952159378
oos_holdout,A2_lead10,2010-10-21,2010-10-22,KMX,30.08,29.33,29.2968,-376.76,-1.039,1,stop,55,1.0,,,7.0,195,8.0,195,34.0,194,XLY,1.0,9.0,89060646.0875,0.025065207820862252
oos_holdout,A2_lead10,2010-10-19,2010-10-26,NTAP,51.45,49.89,51.5961,36.03,0.093,7,partial;stop,35,16.0,2.0,6.0,131.0,191,56.0,191,5.0,190,XLK,4.0,9.0,398505407.77475,0.030378129125063918
oos_holdout,A2_lead10,2010-10-25,2010-10-26,LVS,39.63,39.25,39.2107,-152.88,-1.103,1,stop,70,6.0,,,9.0,195,3.0,195,2.0,194,XLY,2.0,9.0,1135738989.0040002,0.03389579334681719
oos_holdout,A2_lead10,2010-10-25,2010-10-27,SINA,56.06,55.25,55.1947,-204.98,-1.069,2,stop,73,17.0,4.0,6.0,111.0,195,24.0,195,5.0,194,XLK,4.0,9.0,62381191.9765,0.034970955743598806
oos_holdout,A2_lead10,2010-10-27,2010-10-28,NTAP,52.76,52.32,52.2677,-136.13,-1.118,1,stop,35,16.0,3.0,5.0,87.0,192,46.0,192,7.0,191,XLK,5.0,9.0,354493783.48375,0.03151493802598716
oos_holdout,A2_lead10,2010-11-01,2010-11-03,NTAP,53.71,52.95,52.8971,-206.6,-1.069,2,stop,35,16.0,4.0,6.0,84.0,194,45.0,194,6.0,193,XLK,2.0,9.0,314903521.28875005,0.030785853636904642
oos_holdout,A2_lead10,2010-11-04,2010-11-09,BWA,57.44,57.38,57.3226,-29.38,-2.0,5,stop,37,3.0,,,83.0,195,51.0,193,20.0,192,XLY,1.0,9.0,74716213.823,0.024965426607809767
oos_holdout,A2_lead10,2010-11-09,2010-11-10,MOS,73.45,71.67,71.5983,-207.77,-1.04,1,stop,28,9.0,,,105.0,209,22.0,207,16.0,206,XLB,4.0,9.0,295552529.31350005,0.032125584142176505
oos_holdout,A2_lead10,2010-11-04,2010-11-12,NTAP,54.41,54.23,54.9633,147.1,3.01,8,partial;stop,35,16.0,3.0,6.0,91.0,195,46.0,193,7.0,192,XLK,2.0,9.0,268210445.85375005,0.02676686084337924
oos_holdout,A2_lead10,2010-10-27,2010-11-15,RHT,41.75,41.0,42.2863,185.5,0.711,19,close<MA;partial,73,18.0,1.0,5.0,131.0,192,30.0,192,16.0,191,XLK,5.0,9.0,126478137.7375,0.02974483570019512
oos_holdout,A2_lead10,2010-11-04,2010-11-15,SCCO,40.55,40.34,40.9185,132.48,1.771,11,partial;stop,10,10.0,1.0,6.0,33.0,195,18.0,193,10.0,192,XLB,3.0,9.0,92952029.93029279,0.02794242055731702
oos_holdout,A2_lead10,2010-11-10,2010-11-16,PTEN,20.49,19.83,19.8119,-209.68,-1.03,6,stop,13,25.0,5.0,9.0,51.0,219,45.0,217,20.0,216,XLE,1.0,9.0,107672029.67650001,0.032149470051773675
oos_holdout,A2_lead10,2010-11-19,2010-11-22,AGCO,47.28,45.87,45.8195,-414.0,-1.032,3,stop,35,16.0,3.0,9.0,88.0,221,59.0,219,21.0,217,XLI,4.0,9.0,72608574.60849999,0.02986406315103806
oos_holdout,A2_lead10,2010-11-18,2010-11-29,BWA,59.44,58.56,59.6598,55.55,0.251,11,partial;stop,37,6.0,,,75.0,226,52.0,224,11.0,223,XLY,2.0,9.0,72598288.9,0.025325975611712327
oos_holdout,A2_lead10,2010-12-03,2010-12-08,FCX,54.31,53.44,53.3816,-267.17,-1.061,5,stop,10,16.0,1.0,7.0,78.0,205,36.0,203,21.0,202,XLB,5.0,9.0,1274614909.4885,0.032572129599181134
oos_holdout,A2_lead10,2010-11-30,2010-12-13,JCP,33.34,32.25,33.5239,67.19,0.165,13,partial;stop,53,4.0,,,121.0,200,10.0,198,90.0,197,XLY,2.0,9.0,126378504.26099999,0.032763504912632246
oos_holdout,A2_lead10,2010-11-04,2011-01-05,HL,7.2,7.15,9.7704,5272.52,54.529,62,close<MA;partial,14,2.0,,,93.0,195,17.0,193,51.0,192,XLB,3.0,9.0,62901982.74775,0.03866395411151357
oos_holdout,A2_lead10,2010-10-25,2011-01-07,NOV,49.2,47.93,61.5348,1862.68,9.701,74,close<MA;partial,35,15.0,2.0,6.0,34.0,195,19.0,195,56.0,194,XLI,6.0,9.0,212268957.5715,0.02584473065555709
oos_holdout,A2_lead10,2010-12-21,2011-01-20,MEE,52.55,51.65,52.7697,65.15,0.241,30,close<MA;partial,12,3.0,,,78.0,133,3.0,131,20.0,131,XLE,1.0,9.0,221161961.01700002,0.02863898295492761
oos_holdout,A2_lead10,2010-11-24,2011-01-21,SWKS,24.9,24.81,29.9257,3047.65,52.918,58,close<MA;partial,36,16.0,4.0,8.0,50.0,222,28.0,220,16.0,218,XLK,3.0,9.0,99966498.46599999,0.03191480708112867
oos_holdout,A2_lead10,2011-02-07,2011-02-08,ADTN,46.7,45.39,45.0149,-549.92,-1.289,1,stop,36,18.0,2.0,8.0,20.0,234,27.0,232,82.0,229,XLK,5.0,9.0,65888424.905999996,0.027943694200404844
oos_holdout,A2_lead10,2011-02-09,2011-02-15,CF,29.96,29.29,30.0055,24.19,0.068,6,partial;stop,28,13.0,4.0,7.0,101.0,220,98.0,218,22.0,215,XLB,4.0,9.0,357527180.235,0.03636664142481942
